Vertex: 0, Time Step: 10, Iterations: [0, 10, 20, 30, 40, 50, 60, 70, 80, 90, 100]

<Compressed Sparse Column sparse matrix of dtype 'float64'
	with 174709 stored elements and shape (24955, 24955)>
  Coords	Values
  (4, 0)	-1.2487786461314996
  (14, 0)	-2.190669519011727
  (3, 0)	-1.7408364096706155
  (20, 0)	-2.6191337265737356
  (0, 0)	8.121696457327252
  (1, 0)	-0.32227815593967335
  (78, 1)	-0.8177702944867278
  (38, 1)	-1.237934300031505
  (9, 1)	-1.3239107369748093
  (8, 1)	-1.963974594674205
  (14, 1)	-0.5429472670025596
  (20, 1)	-1.0342996651648393
  (0, 1)	-0.32227815593967335
  (1, 1)	7.243115014274317
  (4, 2)	-1.1291262144403693
  (5, 2)	-1.090485513414411
  (15, 2)	-1.1406854686786683
  (10, 2)	-1.4912472607016687
  (20, 2)	-1.7787308411721963
  (9, 2)	-0.5279930392514135
  (2, 2)	7.158268337658728
  (19, 3)	-1.2144056301520259
  (24, 3)	-1.609639813763918
  (16, 3)	-1.2727582115259153
  (4, 3)	-0.7932708183234711
  :	:
  (8609, 24951)	-1.2768454222954724
  (8258, 24951)	-0.3504444278734935
  (8483, 24951)	-0.10883286850945484
  (8309, 24951)	-1.7069014661644557
  (8726, 24951)	-1.2413488643038821
  (8257, 24951)	-1.7771850702018939
  (8796, 24951)	-0.8056303653660529
  (24951, 24951)	7.267188484714706
  (24954, 24952)	0.41952992642324916
  (12981, 24952)	-0.9268660666631627
  (12681, 24952)	-0.6198501116194276
  (12984, 24952)	-1.95598152323633
  (13044, 24952)	-1.902183336891416
  (12930, 24952)	-1.6630580298646809
  (24952, 24952)	7.848147824435133
  (12931, 24952)	-1.1997386825833634
  (10901, 24953)	-0.08717687943894978
  (10811, 24953)	-3.317126653243371
  (24953, 24953)	7.39346729519466
  (10515, 24953)	-2.4412299826962016
  (10573, 24953)	-1.547933779816138
  (24952, 24954)	0.41952992642324927
  (12931, 24954)	-2.9587151129398475
  (24954, 24954)	5.564407734705329
  (12981, 24954)	-3.0252225481887307

